machine_id,machine_type,active_time,fault_type,repair/replace_type,cost,event_type
1,Excavator,3000,,Maintenance Service,50,Service
1,Excavator,6000,,Maintenance Service,50,Service
1,Excavator,8027,Brake System,Replaced Brake System,200,Failure
1,Excavator,9000,,Maintenance Service,50,Service
1,Excavator,10109,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,12000,,Maintenance Service,50,Service
1,Excavator,15000,,Maintenance Service,50,Service
1,Excavator,15021,Engine,Replaced Engine,1000,Failure
1,Excavator,15521,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,16424,Brake System,Replaced Brake System,200,Failure
1,Excavator,16924,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,18000,,Maintenance Service,50,Service
1,Excavator,21000,,Maintenance Service,50,Service
1,Excavator,24000,,Maintenance Service,50,Service
1,Excavator,24739,Brake System,Replaced Brake System,200,Failure
1,Excavator,27000,,Maintenance Service,50,Service
1,Excavator,27219,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,30000,,Maintenance Service,50,Service
1,Excavator,30960,Engine,Replaced Engine,1000,Failure
1,Excavator,33000,,Maintenance Service,50,Service
1,Excavator,33452,Brake System,Replaced Brake System,200,Failure
1,Excavator,36000,,Maintenance Service,50,Service
1,Excavator,37230,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,37730,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,39000,,Maintenance Service,50,Service
1,Excavator,42000,,Maintenance Service,50,Service
1,Excavator,42071,Brake System,Replaced Brake System,200,Failure
1,Excavator,42571,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,45000,,Maintenance Service,50,Service
1,Excavator,48000,,Maintenance Service,50,Service
1,Excavator,48385,Engine,Replaced Engine,1000,Failure
1,Excavator,50596,Brake System,Replaced Brake System,200,Failure
1,Excavator,51000,,Maintenance Service,50,Service
1,Excavator,52860,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,54000,,Maintenance Service,50,Service
1,Excavator,57000,,Maintenance Service,50,Service
1,Excavator,58846,Brake System,Replaced Brake System,200,Failure
1,Excavator,59346,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,60000,,Maintenance Service,50,Service
1,Excavator,63000,,Maintenance Service,50,Service
1,Excavator,63209,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,66000,,Maintenance Service,50,Service
1,Excavator,67516,Brake System,Replaced Brake System,200,Failure
1,Excavator,69000,,Maintenance Service,50,Service
1,Excavator,72000,,Maintenance Service,50,Service
1,Excavator,73874,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,74305,Engine,Replaced Engine,1000,Failure
1,Excavator,75000,,Maintenance Service,50,Service
1,Excavator,76085,Brake System,Replaced Brake System,200,Failure
1,Excavator,78000,,Maintenance Service,50,Service
1,Excavator,81000,,Maintenance Service,50,Service
1,Excavator,84000,,Maintenance Service,50,Service
1,Excavator,84277,Brake System,Replaced Brake System,200,Failure
1,Excavator,84447,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,84777,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,84947,Brake System,Preemptive Replacement of Brake System,200,Preemptive Replacement
1,Excavator,87000,,Maintenance Service,50,Service
1,Excavator,90000,,Maintenance Service,50,Service
1,Excavator,93000,,Maintenance Service,50,Service
1,Excavator,93497,Brake System,Replaced Brake System,200,Failure
1,Excavator,95361,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,96000,,Maintenance Service,50,Service
1,Excavator,99000,,Maintenance Service,50,Service
1,Excavator,100266,Engine,Replaced Engine,1000,Failure
1,Excavator,102000,,Maintenance Service,50,Service
1,Excavator,102470,Brake System,Replaced Brake System,200,Failure
1,Excavator,102970,Brake System,Preemptive Replacement of Brake System,200,Preemptive Replacement
1,Excavator,105000,,Maintenance Service,50,Service
1,Excavator,105888,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,108000,,Maintenance Service,50,Service
1,Excavator,110866,Brake System,Replaced Brake System,200,Failure
1,Excavator,111000,,Maintenance Service,50,Service
1,Excavator,114000,,Maintenance Service,50,Service
1,Excavator,116563,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,117000,,Maintenance Service,50,Service
1,Excavator,118590,Engine,Replaced Engine,1000,Failure
1,Excavator,119551,Brake System,Replaced Brake System,200,Failure
1,Excavator,120000,,Maintenance Service,50,Service
1,Excavator,123000,,Maintenance Service,50,Service
1,Excavator,126000,,Maintenance Service,50,Service
1,Excavator,127763,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,127942,Brake System,Replaced Brake System,200,Failure
1,Excavator,129000,,Maintenance Service,50,Service
1,Excavator,132000,,Maintenance Service,50,Service
1,Excavator,135000,,Maintenance Service,50,Service
1,Excavator,135802,Brake System,Replaced Brake System,200,Failure
1,Excavator,137622,Engine,Replaced Engine,1000,Failure
1,Excavator,138000,,Maintenance Service,50,Service
1,Excavator,138277,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,141000,,Maintenance Service,50,Service
1,Excavator,144000,,Maintenance Service,50,Service
1,Excavator,144453,Brake System,Replaced Brake System,200,Failure
1,Excavator,147000,,Maintenance Service,50,Service
1,Excavator,148791,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,150000,,Maintenance Service,50,Service
1,Excavator,152759,Brake System,Replaced Brake System,200,Failure
1,Excavator,153000,,Maintenance Service,50,Service
1,Excavator,156000,,Maintenance Service,50,Service
1,Excavator,156471,Engine,Replaced Engine,1000,Failure
1,Excavator,159000,,Maintenance Service,50,Service
1,Excavator,159085,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,159585,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,161303,Brake System,Replaced Brake System,200,Failure
1,Excavator,162000,,Maintenance Service,50,Service
1,Excavator,165000,,Maintenance Service,50,Service
1,Excavator,168000,,Maintenance Service,50,Service
1,Excavator,169534,Brake System,Replaced Brake System,200,Failure
1,Excavator,169580,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,170034,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,171000,,Maintenance Service,50,Service
1,Excavator,174000,,Maintenance Service,50,Service
1,Excavator,177000,,Maintenance Service,50,Service
1,Excavator,178418,Brake System,Replaced Brake System,200,Failure
1,Excavator,178918,Engine,Preemptive Replacement of Engine,1000,Preemptive Replacement
1,Excavator,180000,,Maintenance Service,50,Service
1,Excavator,180205,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,183000,,Maintenance Service,50,Service
1,Excavator,186000,,Maintenance Service,50,Service
1,Excavator,186966,Brake System,Replaced Brake System,200,Failure
1,Excavator,189000,,Maintenance Service,50,Service
1,Excavator,190856,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,192000,,Maintenance Service,50,Service
1,Excavator,194031,Engine,Replaced Engine,1000,Failure
1,Excavator,194531,Brake System,Preemptive Replacement of Brake System,200,Preemptive Replacement
1,Excavator,195000,,Maintenance Service,50,Service
1,Excavator,198000,,Maintenance Service,50,Service
1,Excavator,200930,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,201000,,Maintenance Service,50,Service
1,Excavator,202067,Brake System,Replaced Brake System,200,Failure
1,Excavator,204000,,Maintenance Service,50,Service
1,Excavator,207000,,Maintenance Service,50,Service
1,Excavator,210000,,Maintenance Service,50,Service
1,Excavator,210657,Brake System,Replaced Brake System,200,Failure
1,Excavator,211587,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,213000,,Maintenance Service,50,Service
1,Excavator,213525,Engine,Replaced Engine,1000,Failure
1,Excavator,216000,,Maintenance Service,50,Service
1,Excavator,218630,Brake System,Replaced Brake System,200,Failure
1,Excavator,219000,,Maintenance Service,50,Service
1,Excavator,222000,,Maintenance Service,50,Service
1,Excavator,222211,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,225000,,Maintenance Service,50,Service
1,Excavator,226951,Brake System,Replaced Brake System,200,Failure
1,Excavator,228000,,Maintenance Service,50,Service
1,Excavator,231000,,Maintenance Service,50,Service
1,Excavator,232033,Engine,Replaced Engine,1000,Failure
1,Excavator,232920,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,234000,,Maintenance Service,50,Service
1,Excavator,235308,Brake System,Replaced Brake System,200,Failure
1,Excavator,237000,,Maintenance Service,50,Service
1,Excavator,240000,,Maintenance Service,50,Service
1,Excavator,243000,,Maintenance Service,50,Service
1,Excavator,243377,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,244248,Brake System,Replaced Brake System,200,Failure
1,Excavator,246000,,Maintenance Service,50,Service
1,Excavator,249000,,Maintenance Service,50,Service
1,Excavator,251740,Engine,Replaced Engine,1000,Failure
1,Excavator,252000,,Maintenance Service,50,Service
1,Excavator,252240,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,253046,Brake System,Replaced Brake System,200,Failure
1,Excavator,255000,,Maintenance Service,50,Service
1,Excavator,258000,,Maintenance Service,50,Service
1,Excavator,261000,,Maintenance Service,50,Service
1,Excavator,261496,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,261530,Brake System,Replaced Brake System,200,Failure
1,Excavator,261996,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,264000,,Maintenance Service,50,Service
1,Excavator,267000,,Maintenance Service,50,Service
1,Excavator,270000,,Maintenance Service,50,Service
1,Excavator,270331,Brake System,Replaced Brake System,200,Failure
1,Excavator,271948,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,272009,Engine,Replaced Engine,1000,Failure
1,Excavator,273000,,Maintenance Service,50,Service
1,Excavator,276000,,Maintenance Service,50,Service
1,Excavator,279000,,Maintenance Service,50,Service
1,Excavator,279392,Brake System,Replaced Brake System,200,Failure
1,Excavator,282000,,Maintenance Service,50,Service
1,Excavator,282437,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,285000,,Maintenance Service,50,Service
1,Excavator,288000,,Maintenance Service,50,Service
1,Excavator,288033,Brake System,Replaced Brake System,200,Failure
1,Excavator,291000,,Maintenance Service,50,Service
1,Excavator,291787,Engine,Replaced Engine,1000,Failure
1,Excavator,292635,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,294000,,Maintenance Service,50,Service
1,Excavator,296580,Brake System,Replaced Brake System,200,Failure
1,Excavator,297000,,Maintenance Service,50,Service
1,Excavator,300000,,Maintenance Service,50,Service
1,Excavator,303000,,Maintenance Service,50,Service
1,Excavator,303167,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,305170,Brake System,Replaced Brake System,200,Failure
1,Excavator,306000,,Maintenance Service,50,Service
1,Excavator,309000,,Maintenance Service,50,Service
1,Excavator,311806,Engine,Replaced Engine,1000,Failure
1,Excavator,312000,,Maintenance Service,50,Service
1,Excavator,313768,Brake System,Replaced Brake System,200,Failure
1,Excavator,313957,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,315000,,Maintenance Service,50,Service
1,Excavator,318000,,Maintenance Service,50,Service
1,Excavator,321000,,Maintenance Service,50,Service
1,Excavator,322311,Brake System,Replaced Brake System,200,Failure
1,Excavator,324000,,Maintenance Service,50,Service
1,Excavator,324461,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,327000,,Maintenance Service,50,Service
1,Excavator,330000,,Maintenance Service,50,Service
1,Excavator,331236,Brake System,Replaced Brake System,200,Failure
1,Excavator,332457,Engine,Replaced Engine,1000,Failure
1,Excavator,333000,,Maintenance Service,50,Service
1,Excavator,335375,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,336000,,Maintenance Service,50,Service
1,Excavator,339000,,Maintenance Service,50,Service
1,Excavator,339695,Brake System,Replaced Brake System,200,Failure
1,Excavator,342000,,Maintenance Service,50,Service
1,Excavator,345000,,Maintenance Service,50,Service
1,Excavator,345898,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,348000,,Maintenance Service,50,Service
1,Excavator,348455,Brake System,Replaced Brake System,200,Failure
1,Excavator,351000,,Maintenance Service,50,Service
1,Excavator,351901,Engine,Replaced Engine,1000,Failure
1,Excavator,354000,,Maintenance Service,50,Service
1,Excavator,356383,Brake System,Replaced Brake System,200,Failure
1,Excavator,356412,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,357000,,Maintenance Service,50,Service
1,Excavator,360000,,Maintenance Service,50,Service
1,Excavator,363000,,Maintenance Service,50,Service
1,Excavator,365094,Brake System,Replaced Brake System,200,Failure
1,Excavator,366000,,Maintenance Service,50,Service
1,Excavator,366126,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,369000,,Maintenance Service,50,Service
1,Excavator,372000,,Maintenance Service,50,Service
1,Excavator,372822,Engine,Replaced Engine,1000,Failure
1,Excavator,373640,Brake System,Replaced Brake System,200,Failure
1,Excavator,375000,,Maintenance Service,50,Service
1,Excavator,376792,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,378000,,Maintenance Service,50,Service
1,Excavator,381000,,Maintenance Service,50,Service
1,Excavator,382156,Brake System,Replaced Brake System,200,Failure
1,Excavator,384000,,Maintenance Service,50,Service
1,Excavator,387000,,Maintenance Service,50,Service
1,Excavator,387297,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,390000,,Maintenance Service,50,Service
1,Excavator,390812,Brake System,Replaced Brake System,200,Failure
1,Excavator,392327,Engine,Replaced Engine,1000,Failure
1,Excavator,393000,,Maintenance Service,50,Service
1,Excavator,396000,,Maintenance Service,50,Service
1,Excavator,397805,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,399000,,Maintenance Service,50,Service
1,Excavator,399277,Brake System,Replaced Brake System,200,Failure
1,Excavator,402000,,Maintenance Service,50,Service
1,Excavator,405000,,Maintenance Service,50,Service
1,Excavator,408000,,Maintenance Service,50,Service
1,Excavator,408193,Brake System,Replaced Brake System,200,Failure
1,Excavator,408224,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,411000,,Maintenance Service,50,Service
1,Excavator,411384,Engine,Replaced Engine,1000,Failure
1,Excavator,414000,,Maintenance Service,50,Service
1,Excavator,416472,Brake System,Replaced Brake System,200,Failure
1,Excavator,417000,,Maintenance Service,50,Service
1,Excavator,418935,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,420000,,Maintenance Service,50,Service
1,Excavator,423000,,Maintenance Service,50,Service
1,Excavator,424523,Brake System,Replaced Brake System,200,Failure
1,Excavator,426000,,Maintenance Service,50,Service
1,Excavator,429000,,Maintenance Service,50,Service
1,Excavator,429390,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,431411,Engine,Replaced Engine,1000,Failure
1,Excavator,432000,,Maintenance Service,50,Service
1,Excavator,433454,Brake System,Replaced Brake System,200,Failure
1,Excavator,435000,,Maintenance Service,50,Service
1,Excavator,438000,,Maintenance Service,50,Service
1,Excavator,439799,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,441000,,Maintenance Service,50,Service
1,Excavator,441411,Brake System,Replaced Brake System,200,Failure
1,Excavator,444000,,Maintenance Service,50,Service
1,Excavator,447000,,Maintenance Service,50,Service
1,Excavator,449658,Engine,Replaced Engine,1000,Failure
1,Excavator,450000,,Maintenance Service,50,Service
1,Excavator,450479,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,450814,Brake System,Replaced Brake System,200,Failure
1,Excavator,453000,,Maintenance Service,50,Service
1,Excavator,456000,,Maintenance Service,50,Service
1,Excavator,459000,,Maintenance Service,50,Service
1,Excavator,459027,Brake System,Replaced Brake System,200,Failure
1,Excavator,461360,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,462000,,Maintenance Service,50,Service
1,Excavator,465000,,Maintenance Service,50,Service
1,Excavator,467666,Brake System,Replaced Brake System,200,Failure
1,Excavator,468000,,Maintenance Service,50,Service
1,Excavator,468166,Brake System,Preemptive Replacement of Brake System,200,Preemptive Replacement
1,Excavator,468600,Engine,Replaced Engine,1000,Failure
1,Excavator,469100,Hydraulic Pump,Preemptive Replacement of Hydraulic Pump,500,Preemptive Replacement
1,Excavator,471000,,Maintenance Service,50,Service
1,Excavator,474000,,Maintenance Service,50,Service
1,Excavator,476208,Brake System,Replaced Brake System,200,Failure
1,Excavator,477000,,Maintenance Service,50,Service
1,Excavator,479251,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
1,Excavator,480000,,Maintenance Service,50,Service
1,Excavator,483000,,Maintenance Service,50,Service
1,Excavator,484314,Brake System,Replaced Brake System,200,Failure
1,Excavator,486000,,Maintenance Service,50,Service
1,Excavator,488685,Engine,Replaced Engine,1000,Failure
1,Excavator,489000,,Maintenance Service,50,Service
1,Excavator,489843,Hydraulic Pump,Replaced Hydraulic Pump,500,Failure
