machine_id,machine_type,component,component_age,prev_failures,num_services_since_install,component_age_x_services,time_since_last_service,RUL,event_type_encoded,lifecycle_id,is_failure
1,Excavator,Brake System,500,0,0,0,2355,7855.0,0,0,0
1,Excavator,Hydraulic Pump,500,0,0,0,320,8820.0,0,0,0
1,Excavator,Engine,500,0,0,0,2165,13665.0,0,0,0
1,Excavator,Brake System,1000,0,0,0,2355,7355.0,0,0,0
1,Excavator,Hydraulic Pump,1000,0,0,0,320,8320.0,0,0,0
1,Excavator,Engine,1000,0,0,0,2165,13165.0,0,0,0
1,Excavator,Brake System,1500,0,0,0,2355,6855.0,0,0,0
1,Excavator,Hydraulic Pump,1500,0,0,0,320,7820.0,0,0,0
1,Excavator,Engine,1500,0,0,0,2165,12665.0,0,0,0
1,Excavator,Brake System,2000,0,0,0,2355,6355.0,0,0,0
1,Excavator,Hydraulic Pump,2000,0,0,0,320,7320.0,0,0,0
1,Excavator,Engine,2000,0,0,0,2165,12165.0,0,0,0
1,Excavator,Engine,2500,0,0,0,2165,11665.0,0,0,0
1,Excavator,Brake System,2500,0,0,0,2355,5855.0,0,0,0
1,Excavator,Hydraulic Pump,2500,0,0,0,320,6820.0,0,0,0
1,Excavator,Brake System,3000,0,0,0,0,5355.0,1,0,0
1,Excavator,Hydraulic Pump,3000,0,0,0,0,6320.0,1,0,0
1,Excavator,Engine,3000,0,0,0,0,11165.0,1,0,0
1,Excavator,Brake System,3000,0,0,0,2355,5355.0,0,0,0
1,Excavator,Hydraulic Pump,3000,0,0,0,320,6320.0,0,0,0
1,Excavator,Engine,3000,0,0,0,2165,11165.0,0,0,0
1,Excavator,Engine,3500,0,1,14165,2165,10665.0,0,0,0
1,Excavator,Brake System,3500,0,1,8355,2355,4855.0,0,0,0
1,Excavator,Hydraulic Pump,3500,0,1,9320,320,5820.0,0,0,0
1,Excavator,Hydraulic Pump,4000,0,1,9320,320,5320.0,0,0,0
1,Excavator,Engine,4000,0,1,14165,2165,10165.0,0,0,0
1,Excavator,Brake System,4000,0,1,8355,2355,4355.0,0,0,0
1,Excavator,Brake System,4500,0,1,8355,2355,3855.0,0,0,0
1,Excavator,Hydraulic Pump,4500,0,1,9320,320,4820.0,0,0,0
1,Excavator,Engine,4500,0,1,14165,2165,9665.0,0,0,0
1,Excavator,Brake System,5000,0,1,8355,2355,3355.0,0,0,0
1,Excavator,Hydraulic Pump,5000,0,1,9320,320,4320.0,0,0,0
1,Excavator,Engine,5000,0,1,14165,2165,9165.0,0,0,0
1,Excavator,Brake System,5500,0,1,8355,2355,2855.0,0,0,0
1,Excavator,Hydraulic Pump,5500,0,1,9320,320,3820.0,0,0,0
1,Excavator,Engine,5500,0,1,14165,2165,8665.0,0,0,0
1,Excavator,Brake System,6000,0,1,8355,2355,2355.0,0,0,0
1,Excavator,Engine,6000,0,1,14165,2165,8165.0,0,0,0
1,Excavator,Hydraulic Pump,6000,0,1,9320,320,3320.0,0,0,0
1,Excavator,Engine,6000,0,1,6000,3000,8165.0,1,0,0
1,Excavator,Hydraulic Pump,6000,0,1,6000,3000,3320.0,1,0,0
1,Excavator,Brake System,6000,0,1,6000,3000,2355.0,1,0,0
1,Excavator,Brake System,6500,0,2,16710,2355,1855.0,0,0,0
1,Excavator,Hydraulic Pump,6500,0,2,18640,320,2820.0,0,0,0
1,Excavator,Engine,6500,0,2,28330,2165,7665.0,0,0,0
1,Excavator,Brake System,7000,0,2,16710,2355,1355.0,0,0,0
1,Excavator,Hydraulic Pump,7000,0,2,18640,320,2320.0,0,0,0
1,Excavator,Engine,7000,0,2,28330,2165,7165.0,0,0,0
1,Excavator,Brake System,7500,0,2,16710,2355,855.0,0,0,0
1,Excavator,Hydraulic Pump,7500,0,2,18640,320,1820.0,0,0,0
1,Excavator,Engine,7500,0,2,28330,2165,6665.0,0,0,0
1,Excavator,Hydraulic Pump,8000,0,2,18640,320,1320.0,0,0,0
1,Excavator,Brake System,8000,0,2,16710,2355,355.0,0,0,0
